Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8332, Test accuracy: 0.7913
/home/apiasecz/.conda/envs/cog_fl_llm_env/lib/python3.12/site-packages/torch/autograd/graph.py:744: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at /opt/conda/conda-bld/pytorch_1712608847532/work/aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch 1/5, Loss: 1.2177
Epoch 2/5, Loss: 0.7682
Epoch 3/5, Loss: 0.5965
Epoch 4/5, Loss: 0.4876
Epoch 5/5, Loss: 0.4105
Round 156: Accuracy = 0.8399, Loss = 0.1213, Decision = 0
Round 157: Accuracy = 0.8393, Loss = 0.1239, Decision = 0
Round 158: Accuracy = 0.8387, Loss = 0.1265, Decision = 0
Round 159: Accuracy = 0.8381, Loss = 0.1291, Decision = 0
Round 160: Accuracy = 0.8376, Loss = 0.1323, Decision = 0
Round 161: Accuracy = 0.8373, Loss = 0.1349, Decision = 0
Round 162: Accuracy = 0.8368, Loss = 0.1379, Decision = 0
Round 163: Accuracy = 0.8359, Loss = 0.1402, Decision = 0
Round 164: Accuracy = 0.8351, Loss = 0.1433, Decision = 0
Round 165: Accuracy = 0.8341, Loss = 0.1459, Decision = 0
Round 166: Accuracy = 0.8340, Loss = 0.1487, Decision = 0
Round 167: Accuracy = 0.8338, Loss = 0.1517, Decision = 0
Round 168: Accuracy = 0.8328, Loss = 0.1549, Decision = 0
Round 169: Accuracy = 0.8323, Loss = 0.1581, Decision = 0
Round 170: Accuracy = 0.8320, Loss = 0.1620, Decision = 0
Round 171: Accuracy = 0.8312, Loss = 0.1647, Decision = 0
Round 172: Accuracy = 0.8303, Loss = 0.1678, Decision = 0
Round 173: Accuracy = 0.8296, Loss = 0.1712, Decision = 0
Round 174: Accuracy = 0.8290, Loss = 0.1744, Decision = 0
Round 175: Accuracy = 0.8284, Loss = 0.1778, Decision = 0
Round 176: Accuracy = 0.8279, Loss = 0.1813, Decision = 0
Round 177: Accuracy = 0.8265, Loss = 0.1850, Decision = 0
Round 178: Accuracy = 0.8254, Loss = 0.1878, Decision = 0
Round 179: Accuracy = 0.8249, Loss = 0.1915, Decision = 0
Round 180: Accuracy = 0.8249, Loss = 0.1949, Decision = 0
Round 181: Accuracy = 0.8241, Loss = 0.1977, Decision = 0
Round 182: Accuracy = 0.8230, Loss = 0.2015, Decision = 0
Round 183: Accuracy = 0.8225, Loss = 0.2045, Decision = 0
Round 184: Accuracy = 0.8221, Loss = 0.2077, Decision = 0
Round 185: Accuracy = 0.8214, Loss = 0.2112, Decision = 0
Round 186: Accuracy = 0.8206, Loss = 0.2148, Decision = 0
Round 187: Accuracy = 0.8199, Loss = 0.2181, Decision = 0
Round 188: Accuracy = 0.8192, Loss = 0.2220, Decision = 0
Round 189: Accuracy = 0.8178, Loss = 0.2256, Decision = 0
Round 190: Accuracy = 0.8165, Loss = 0.2288, Decision = 0
Round 191: Accuracy = 0.8150, Loss = 0.2321, Decision = 0
Round 192: Accuracy = 0.8145, Loss = 0.2361, Decision = 0
Round 193: Accuracy = 0.8136, Loss = 0.2405, Decision = 0
Round 194: Accuracy = 0.8134, Loss = 0.2445, Decision = 0
Round 195: Accuracy = 0.8125, Loss = 0.2481, Decision = 0
Round 196: Accuracy = 0.8118, Loss = 0.2518, Decision = 0
Round 197: Accuracy = 0.8115, Loss = 0.2555, Decision = 0
Round 198: Accuracy = 0.8106, Loss = 0.2590, Decision = 0
Round 199: Accuracy = 0.8095, Loss = 0.2627, Decision = 0
